leader,gnn_trial,deck_trial,score,meta_overlap,avg_synergy,num_singletons,deck_size,synergy_mse
OP01-001,1,30,2794.21142578125,0,2.0411932468414307,4,50,1.7926334353942783
OP01-001,1,31,2842.7392578125,0,2.058732509613037,5,50,1.7926334353942783
OP01-001,1,32,2827.729248046875,1,2.0496246814727783,5,50,1.7926334353942783
OP01-001,1,33,2814.437744140625,0,2.04158091545105,5,50,1.7926334353942783
OP01-001,1,34,2830.8388671875,1,2.047811985015869,5,50,1.7926334353942783
OP01-001,1,35,2853.50537109375,1,2.0585150718688965,5,50,1.7926334353942783
OP01-001,1,36,2804.92431640625,0,2.042429208755493,5,50,1.7926334353942783
OP01-001,1,37,2851.493896484375,2,2.0651164054870605,5,50,1.7926334353942783
OP01-001,1,38,2770.7763671875,1,2.0397872924804688,2,50,1.7926334353942783
OP01-001,1,39,2825.158935546875,1,2.0465028285980225,5,50,1.7926334353942783
OP01-001,1,40,2823.60595703125,0,2.0487914085388184,5,50,1.7926334353942783
OP01-001,1,41,2839.285888671875,2,2.0565547943115234,5,50,1.7926334353942783
OP01-001,1,42,2825.483154296875,2,2.066476583480835,5,50,1.7926334353942783
OP01-001,1,43,2786.728271484375,0,2.0482141971588135,5,50,1.7926334353942783
OP01-001,1,44,2790.178955078125,0,2.0473484992980957,5,50,1.7926334353942783
OP01-001,1,45,2811.3427734375,0,2.0507967472076416,4,50,1.7926334353942783
OP01-001,1,46,2821.35791015625,1,2.0503017902374268,5,50,1.7926334353942783
OP01-001,1,47,2823.244384765625,0,2.045323371887207,5,50,1.7926334353942783
OP01-001,1,48,2851.18017578125,3,2.0543694496154785,4,50,1.7926334353942783
OP01-001,1,49,2850.17529296875,2,2.0633668899536133,5,50,1.7926334353942783
OP01-001,1,50,2825.73779296875,1,2.0500268936157227,5,50,1.7926334353942783
OP01-001,1,51,2831.775390625,0,2.050689220428467,4,50,1.7926334353942783
OP01-001,1,52,2820.3642578125,0,2.0452497005462646,4,50,1.7926334353942783
OP01-001,1,53,2820.031494140625,1,2.051123857498169,5,50,1.7926334353942783
OP01-001,1,54,2794.7314453125,1,2.040869951248169,5,50,1.7926334353942783
OP01-001,1,55,2824.14111328125,0,2.05122709274292,5,50,1.7926334353942783
OP01-001,1,56,2835.010986328125,2,2.0486745834350586,5,50,1.7926334353942783
OP01-001,1,57,2814.0087890625,1,2.0494868755340576,5,50,1.7926334353942783
OP01-001,1,58,2847.0478515625,3,2.0543768405914307,5,50,1.7926334353942783
OP01-001,1,59,2814.17822265625,0,2.044689416885376,4,50,1.7926334353942783
OP01-001,1,60,2807.470947265625,1,2.0391292572021484,5,50,1.7926334353942783
OP01-001,1,61,2855.7529296875,3,2.0563998222351074,5,50,1.7926334353942783
OP01-001,1,62,2846.35791015625,1,2.058454990386963,5,50,1.7926334353942783
OP01-001,1,63,2853.95654296875,2,2.058105230331421,5,50,1.7926334353942783
OP01-001,1,64,2835.126953125,0,2.052732229232788,5,50,1.7926334353942783
OP01-001,1,65,2813.72021484375,1,2.0427396297454834,5,50,1.7926334353942783
OP01-001,1,66,2817.56884765625,1,2.0516245365142822,5,50,1.7926334353942783
OP01-001,1,67,2821.677001953125,0,2.0520150661468506,5,50,1.7926334353942783
OP01-001,1,68,2834.07470703125,1,2.051520824432373,5,50,1.7926334353942783
OP01-001,1,69,2805.697265625,0,2.052091360092163,5,50,1.7926334353942783
OP01-001,1,70,2832.552490234375,0,2.0460927486419678,5,50,1.7926334353942783
OP01-001,1,71,2847.4609375,3,2.065396308898926,5,50,1.7926334353942783
OP01-001,1,72,2818.3984375,0,2.054213762283325,5,50,1.7926334353942783
OP01-001,1,73,2852.62646484375,3,2.056368350982666,4,50,1.7926334353942783
OP01-001,1,74,2860.078369140625,2,2.065913200378418,5,50,1.7926334353942783
OP01-001,1,75,2828.043701171875,1,2.055208921432495,5,50,1.7926334353942783
OP01-001,1,76,2849.076416015625,2,2.0608701705932617,5,50,1.7926334353942783
OP01-001,1,77,2832.517578125,1,2.0530035495758057,5,50,1.7926334353942783
OP01-001,1,78,2844.560302734375,2,2.054926872253418,5,50,1.7926334353942783
OP01-001,1,79,2859.947021484375,4,2.061091184616089,5,50,1.7926334353942783
OP01-001,1,80,2832.07177734375,0,2.0501794815063477,5,50,1.7926334353942783
OP01-001,1,81,2818.3466796875,0,2.049121379852295,5,50,1.7926334353942783
